asset,time,CapMrktEstUSD
eth,2023-03-31T00:00:00.000000000Z,219698836791.41122057654945792
eth,2023-04-01T00:00:00.000000000Z,219504973507.43763983601281624
eth,2023-04-02T00:00:00.000000000Z,216171582156.84249843200216792
eth,2023-04-03T00:00:00.000000000Z,218149738096.07135080963001064
eth,2023-04-04T00:00:00.000000000Z,225015339219.66121484663980009
eth,2023-04-05T00:00:00.000000000Z,230184395803.50565277334770235
eth,2023-04-06T00:00:00.000000000Z,225480148405.92959675202445068
eth,2023-04-07T00:00:00.000000000Z,224784733520.31983227044380088
eth,2023-04-08T00:00:00.000000000Z,223024925618.274906556058685
eth,2023-04-09T00:00:00.000000000Z,224158446459.9399942791098425
eth,2023-04-10T00:00:00.000000000Z,230293379927.66172619140674424
eth,2023-04-11T00:00:00.000000000Z,227836674834.63919910125034868
eth,2023-04-12T00:00:00.000000000Z,231455256713.92358469846428564
eth,2023-04-13T00:00:00.000000000Z,242182344356.78180058426742928
eth,2023-04-14T00:00:00.000000000Z,253148289413.88929614071286283
eth,2023-04-15T00:00:00.000000000Z,251787744275.62864994635871448
eth,2023-04-16T00:00:00.000000000Z,254556551027.83790022488579543
eth,2023-04-17T00:00:00.000000000Z,248602437767.432331486598099
eth,2023-04-18T00:00:00.000000000Z,251009190518.60232856800078525
eth,2023-04-19T00:00:00.000000000Z,231129956947.47305084327406333
eth,2023-04-20T00:00:00.000000000Z,231885569778.41093851471127877
eth,2023-04-21T00:00:00.000000000Z,222744186732.566096847924029
eth,2023-04-22T00:00:00.000000000Z,225847901016.29906996459139915
eth,2023-04-23T00:00:00.000000000Z,224309626646.74415618549502594
eth,2023-04-24T00:00:00.000000000Z,221903645257.185560666712568
eth,2023-04-25T00:00:00.000000000Z,224930771243.80455699048002062
eth,2023-04-26T00:00:00.000000000Z,224787351438.22584024826018393
eth,2023-04-27T00:00:00.000000000Z,229896733350.81174661883790133
eth,2023-04-28T00:00:00.000000000Z,228034427110.43833636376542632
eth,2023-04-29T00:00:00.000000000Z,229465097244.52127890099255638
eth,2023-04-30T00:00:00.000000000Z,227017458283.97336637686040312
eth,2023-05-01T00:00:00.000000000Z,220539163468.20670252122140252
eth,2023-05-02T00:00:00.000000000Z,225414891358.4834006006091364
eth,2023-05-03T00:00:00.000000000Z,229352550798.65193532348081011
eth,2023-05-04T00:00:00.000000000Z,225962157131.414698091732033
eth,2023-05-05T00:00:00.000000000Z,240221485070.91420994502704704
eth,2023-05-06T00:00:00.000000000Z,228741670543.59368726056868316
eth,2023-05-07T00:00:00.000000000Z,228713293235.59651561007826495
eth,2023-05-08T00:00:00.000000000Z,222667341959.905026824713255
eth,2023-05-09T00:00:00.000000000Z,222405391895.72233311664850605
eth,2023-05-10T00:00:00.000000000Z,221695021098.34077749483112525
eth,2023-05-11T00:00:00.000000000Z,216041529963.3180071624056442
eth,2023-05-12T00:00:00.000000000Z,217503571684.53649545016106458
eth,2023-05-13T00:00:00.000000000Z,216494108423.1792939928
eth,2023-05-14T00:00:00.000000000Z,216440058465.88147963319
eth,2023-05-15T00:00:00.000000000Z,218773174730.95923523147
eth,2023-05-16T00:00:00.000000000Z,219371536039.35302578255
eth,2023-05-17T00:00:00.000000000Z,219185718413.5265574886586355
eth,2023-05-18T00:00:00.000000000Z,216967095119.5864683701885352
eth,2023-05-19T00:00:00.000000000Z,218085944881.8190259251993446
eth,2023-05-20T00:00:00.000000000Z,218820170137.21889397984875943
eth,2023-05-21T00:00:00.000000000Z,217270664396.93113090844630686
eth,2023-05-22T00:00:00.000000000Z,218677538663.13160230432556428
eth,2023-05-23T00:00:00.000000000Z,223047178206.5055192768824083
eth,2023-05-24T00:00:00.000000000Z,216616744816.57044432717933626
eth,2023-05-25T00:00:00.000000000Z,217307417207.5036217898438345
eth,2023-05-26T00:00:00.000000000Z,219984074540.56563481172899194
eth,2023-05-27T00:00:00.000000000Z,220165395462.96020494477975985
eth,2023-05-28T00:00:00.000000000Z,229845179931.37875458252836698
eth,2023-05-29T00:00:00.000000000Z,227868103612.92653527468791629
eth,2023-05-30T00:00:00.000000000Z,228583318051.16380024370619273
eth,2023-05-31T00:00:00.000000000Z,225224188141.23595899742730688
eth,2023-06-01T00:00:00.000000000Z,223888077608.11180309651071416
eth,2023-06-02T00:00:00.000000000Z,229302566318.54206168612580172
eth,2023-06-03T00:00:00.000000000Z,227486304235.628755164257891
eth,2023-06-04T00:00:00.000000000Z,227524808293.0404325193797564
eth,2023-06-05T00:00:00.000000000Z,217957179471.81601031943832566
eth,2023-06-06T00:00:00.000000000Z,226422244245.5745555503502094
eth,2023-06-07T00:00:00.000000000Z,220255547039.65018400511312486
eth,2023-06-08T00:00:00.000000000Z,222095901214.53034912910101328
eth,2023-06-09T00:00:00.000000000Z,221035198753.60748897427275492
eth,2023-06-10T00:00:00.000000000Z,210749678297.83728551626603725
eth,2023-06-11T00:00:00.000000000Z,210619176276.215153138024109
eth,2023-06-12T00:00:00.000000000Z,209490380053.53752624299841628
