asset,time,CapMrktEstUSD
sol,2020-06-21T00:00:00.000000000Z,11084643.6612671814403855717038
sol,2020-06-22T00:00:00.000000000Z,12025128.710132524440936525321
sol,2020-06-23T00:00:00.000000000Z,11658191.249586614464735142944
sol,2020-06-24T00:00:00.000000000Z,12162188.2307742554913396478384
sol,2020-06-25T00:00:00.000000000Z,11759432.7136241949438973705794
sol,2020-06-26T00:00:00.000000000Z,12175054.3902791204183496943008
sol,2020-06-27T00:00:00.000000000Z,11753746.174881449420279359182
sol,2020-06-28T00:00:00.000000000Z,13124521.1937310748166592433536
sol,2020-06-29T00:00:00.000000000Z,14088286.9299998485106515902
sol,2020-06-30T00:00:00.000000000Z,14331239.398507371475967742576
sol,2020-07-01T00:00:00.000000000Z,13744493.6753939257793227881108
sol,2020-07-02T00:00:00.000000000Z,12807616.6778652931070734101704
sol,2020-07-03T00:00:00.000000000Z,12698039.8370364349175948490432
sol,2020-07-04T00:00:00.000000000Z,12889381.611576199083094334839
sol,2020-07-05T00:00:00.000000000Z,11428736.9644139352597159767247
sol,2020-07-06T00:00:00.000000000Z,11720896.4757261919465630826678
sol,2020-07-07T00:00:00.000000000Z,12414255.9729842014742249338515
sol,2020-07-08T00:00:00.000000000Z,13123471.7058488238722902153951
sol,2020-07-09T00:00:00.000000000Z,14021382.8088514276877084285724
sol,2020-07-10T00:00:00.000000000Z,15095653.714339324492785019212
sol,2020-07-11T00:00:00.000000000Z,15263671.9335260263141190039165
sol,2020-07-12T00:00:00.000000000Z,16786258.334120313471974494128
sol,2020-07-13T00:00:00.000000000Z,19472719.54640204769895565093
sol,2020-07-14T00:00:00.000000000Z,19836048.172795224811611929481
sol,2020-07-15T00:00:00.000000000Z,22487276.392737564627600606225
sol,2020-07-16T00:00:00.000000000Z,17607691.7004195874769690056125
sol,2020-07-17T00:00:00.000000000Z,19721741.1981509289119448646072
sol,2020-07-18T00:00:00.000000000Z,20625526.3553792880334469760862
sol,2020-07-19T00:00:00.000000000Z,19673138.0614674557736687730657
sol,2020-07-20T00:00:00.000000000Z,18602726.188043480375921277544
sol,2020-07-21T00:00:00.000000000Z,21060974.1724793776556216341954
sol,2020-07-22T00:00:00.000000000Z,22212715.7724703957094765011
