date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trades,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_trades,sol_open,sol_high,sol_low,sol_close,sol_volume,sol_trades,btc_funding_rate,eth_funding_rate,sol_funding_rate,btc_sum_open_interest,btc_sum_open_interest_value,btc_count_long_short_ratio,btc_sum_taker_long_short_vol_ratio,eth_sum_open_interest,eth_sum_open_interest_value,eth_count_long_short_ratio,eth_sum_taker_long_short_vol_ratio,sol_sum_open_interest,sol_sum_open_interest_value,sol_count_long_short_ratio,sol_sum_taker_long_short_vol_ratio
2021-01-21,35468.23,35600.0,30071.0,30850.13,131803.182926,2820752.0,1376.72,1390.0,1086.0,1110.96,2254164.80365,1823458.0,3.7199,3.7411,2.9717,2.9899,4375407.94,60277.0,0.00039007999999999995,0.00046079,-1.0083333333333332e-05,31893.837927083336,1051756744.7327344,2.21957853,1.0222919956944443,,,,,,,,
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.684049,2707810.0,1111.98,1273.79,1042.31,1232.62,2020593.21673,1652010.0,2.9893,3.4992,2.5295,3.3352,6481502.65,83968.0,0.0001,0.00015662666666666666,-0.00024333666666666667,28111.91507638889,894828416.4572788,2.0290894018055554,1.027204139027778,,,,,,,,
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675,1700056.0,1232.61,1272.44,1195.9,1233.6,1009545.08258,932871.0,3.3302,3.6,3.3056,3.5079,2269454.7,33884.0,0.00010727333333333334,0.00021469666666666667,0.0001,26661.86515625,862246950.676753,1.9076398420486111,1.0562321111805555,,,,,,,,
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966,1528287.0,1233.46,1398.83,1220.0,1392.51,1510879.53817,1313986.0,3.5018,3.79,3.4781,3.6278,2457759.67,32628.0,0.00021918666666666665,0.0008202533333333334,0.00011345666666666666,27218.725673611112,876937391.8130538,1.8318154292013888,1.081616529236111,,,,,,,,
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921,2106548.0,1392.19,1475.0,1293.69,1317.88,1885441.31289,1661512.0,3.6287,3.9928,3.4398,3.7038,6791542.33,82263.0,0.00034889,0.0008324700000000001,0.0004764466666666667,28774.22571527778,961014292.0053179,1.8114874633680556,1.0684567194097223,,,,,,,,
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691,2010392.0,1317.6,1378.49,1244.56,1365.97,1682923.65799,1423178.0,3.7036,4.097,3.6478,4.041,6618303.9,75426.0,0.00011168666666666666,0.00025329333333333335,0.0001,27728.995972222223,886691965.3274126,1.9059632846527776,1.0433916534027778,,,,,,,,
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.961711,2065953.0,1366.54,1373.9,1207.0,1239.03,2009772.08358,1737296.0,4.0418,4.0422,3.5114,3.675,2491757.82,38794.0,0.0001,0.00018780666666666667,0.0001,29480.125072916664,916410036.6089478,1.8321977653125,1.0315989968402777,,,,,,,,
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.145617,2060660.0,1238.93,1360.0,1217.23,1329.69,1365269.71962,1275024.0,3.664,3.96,3.6,3.81,2055425.01,33822.0,0.00014087333333333334,0.00027226,0.00017415333333333332,29982.88443402778,952155310.1545775,1.7520486352777778,1.085385028923611,,,,,,,,
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.005626,4403349.0,1329.44,1436.9,1285.35,1379.5,2253963.18682,1714076.0,3.8092,3.912,3.6,3.8293,2992168.86,42872.0,0.0008053066666666667,0.0013854133333333334,0.0006423133333333333,31970.86968402778,1120532227.315706,1.9291183866319446,1.0562602914583334,,,,,,,,
2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134,2201040.0,1379.56,1406.0,1326.41,1378.05,1040042.2363,1013174.0,3.8301,4.3179,3.7667,4.228,3944655.04,61647.0,0.00041612,0.0006823666666666666,0.0006699633333333335,29692.45026041667,1011658988.2427886,2.6074749893402775,1.0609447583333333,,,,,,,,
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384,1707064.0,1378.04,1380.74,1281.12,1312.55,958704.85571,828176.0,4.228,4.805,4.154,4.2525,5438870.48,94648.0,0.00048431666666666663,0.0010028133333333333,0.0011015766666666667,31280.13962847222,1046011688.8899384,2.6048968391319445,1.0667971213541667,,,,,,,,
2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.276882,1810492.0,1312.45,1377.99,1269.99,1374.17,1096397.91862,915584.0,4.2568,4.617,4.1075,4.6148,2097052.47,43670.0,0.00039447,0.00047379,0.00028593,30885.926395833332,1041583403.2066731,2.436829846423611,1.141019209513889,,,,,,,,
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988,1789672.0,1374.09,1547.9,1360.28,1511.87,1944227.99878,1614541.0,4.6148,5.4026,4.4632,5.2331,5278922.61,107720.0,0.0006774866666666666,0.0011231633333333333,0.00092155,30512.802475694443,1060174777.8065553,2.4973425332986112,1.151808962534722,,,,,,,,
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663,1881740.0,1511.93,1669.35,1508.39,1664.49,1535869.88801,1384979.0,5.243,5.783,5.0513,5.7311,3977458.72,79473.0,0.0007779633333333333,0.0015846,0.00126416,29742.71742013889,1087379789.410375,2.121002696423611,1.1251434737847221,,,,,,,,
2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.735898,2211866.0,1664.67,1695.2,1554.44,1595.67,1646502.32962,1507993.0,5.7339,6.5426,5.5676,6.4085,5609382.39,102732.0,0.00055095,0.0014221,0.001423923333333333,29868.10139236111,1121123354.3686187,1.837804541076389,1.040381962048611,,,,,,,,
2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.334275,1853253.0,1595.53,1760.49,1591.0,1719.19,1194123.29946,1326415.0,6.4181,7.1438,6.4086,6.7005,4235525.49,95696.0,0.0007687566666666666,0.0014854366666666667,0.0021305399999999998,30340.047756272397,1142296415.146265,1.9397371827240144,1.0513006416129034,,,,,,,,
2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183,2291646.0,1718.95,1743.67,1642.94,1676.35,1149808.33101,1152167.0,6.7001,6.8181,5.7,6.1225,5040208.25,112912.0,0.0006899333333333334,0.0012269766666666668,0.0015265066666666667,32788.563444444444,1306867806.2834673,1.9931816685069446,1.0607962340625,,,,,,,,
2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763,1976357.0,1676.35,1693.0,1490.46,1611.62,1281734.86814,1263737.0,6.1219,6.8807,5.75,6.6976,5111066.89,100168.0,0.0010895766666666666,0.0009599366666666666,0.00029772333333333333,32846.75760278745,1271876535.313835,2.2641717274216027,1.0302303563763067,,,,,,,,
2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914,3230961.0,1611.46,1775.57,1563.89,1750.15,1339777.09536,1372788.0,6.6931,8.078,6.4554,7.855,6719151.08,119254.0,0.00122049,0.0011142833333333334,0.00106754,33286.0855,1376319943.2495415,2.2015982141319443,1.04260430625,,,,,,,,
2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712,3119034.0,1749.68,1821.88,1708.49,1769.13,1185071.89593,1173421.0,7.8651,8.4945,7.55,7.8005,4803489.37,92202.0,0.00159619,0.0018803233333333335,0.002669746666666667,35018.75814236111,1636170820.0467882,2.194576910763889,1.0172830604861112,,,,,,,,
2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822,2891592.0,1769.14,1837.86,1680.0,1740.78,1219932.25474,1279140.0,7.8005,9.09,7.26,9.09,4419421.79,103167.0,0.0013735333333333335,0.00153335,0.00229951,33890.248526132404,1553926425.6989284,2.4366624406620208,1.0350990513937282,,,,,,,,
2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454,2570949.0,1740.76,1819.0,1703.44,1785.62,735079.82699,935602.0,9.0897,9.7425,8.72,9.2004,5694878.77,123562.0,0.0011130733333333334,0.0010613533333333333,0.0014768000000000001,34473.8947826087,1597372903.6653664,2.681158507536232,1.062854134072727,,,,,,,,
2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697,2418841.0,1785.83,1864.88,1739.88,1840.26,909600.20653,996495.0,9.2058,9.93,9.0353,9.2,2867258.84,74162.0,0.0011997833333333332,0.0009882833333333333,0.0012513266666666666,35877.931333333334,1708893246.2719438,2.773349325243055,1.0491241340625,,,,,,,,
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,2058823.0,1840.24,1871.72,1765.0,1814.96,767589.07285,853189.0,9.2007,9.5117,8.658,8.7441,3487478.68,80835.0,0.0011918466666666668,0.0016534666666666667,0.0019687566666666666,34443.18019097222,1628976742.5240867,2.686260878611111,1.0467799207291666,,,,,,,,
2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.475533,2090070.0,1815.25,1850.0,1784.11,1800.42,675261.77873,714827.0,8.7448,9.23,8.5293,8.7158,2889949.04,72201.0,0.0012690733333333333,0.0013728899999999999,0.0025375466666666666,36816.683618055555,1791667796.6705933,2.5450616254861114,1.0519606193402777,,,,,,,,
2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.156784,2313155.0,1800.03,1835.72,1655.67,1779.25,1053474.57879,1086589.0,8.7234,9.38,7.7,8.8516,3424896.19,74311.0,0.0007553666666666667,0.0005814433333333333,0.00028806,34702.84939649123,1662109081.40993,2.199409221508772,1.0178968741052632,,,,,,,,
2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.266298,2199849.0,1779.33,1827.28,1724.0,1781.99,817493.47513,826125.0,8.866,9.0,7.9601,8.3002,2257217.69,49157.0,0.0012165466666666667,0.00110621,0.0010551933333333334,35356.737351916374,1729963209.9687238,2.2042588653310102,1.0531321755052263,,,,,,,,
2021-02-17,49133.45,52618.74,48947.0,52119.71,85743.637818,2514374.0,1781.99,1855.0,1733.01,1849.88,795711.63311,862461.0,8.3035,8.45,7.5182,8.2357,3331645.44,71460.0,0.0011487133333333334,0.001437086666666667,0.0008407699999999999,37558.05865277778,1915943617.4921026,1.8547564758680555,1.0566562835763889,,,,,,,,
