calc_time,funding_interval_hours,funding_rate
1624348800009,8,4.434e-05
1624377600001,8,-7.59e-06
1624406400003,8,4.046e-05
1624435200000,8,-9.115e-05
1624464000000,8,-6.683e-05
1624492800009,8,-4.432e-05
1624521600018,8,0.0001
1624550400001,8,0.0001
1624579200009,8,0.0001
1624608000004,8,0.0001
1624636800000,8,7.207e-05
1624665600007,8,4.234e-05
1624694400000,8,-5.794e-05
1624723200002,8,-0.00014961
1624752000005,8,-6.018e-05
1624780800010,8,-0.00027281
1624809600001,8,-0.00013791
1624838400025,8,-4.311e-05
1624867200017,8,0.0001
1624896000007,8,-2.358e-05
1624924800008,8,8.669e-05
1624953600000,8,6.012e-05
1624982400000,8,-0.00011947
1625011200011,8,0.0001
1625040000044,8,0.0001
1625068800005,8,0.0001
1625097600000,8,0.0001
1625126400004,8,0.0001
1625155200028,8,4.853e-05
1625184000002,8,-9.5e-07
1625212800016,8,-2.734e-05
1625241600007,8,-0.00014398
1625270400008,8,7.139e-05
1625299200000,8,2.925e-05
1625328000004,8,-3.943e-05
1625356800012,8,0.0001
1625385600002,8,0.0001
1625414400003,8,0.0001
1625443200004,8,2.596e-05
1625472000000,8,0.0001
1625500800009,8,7.226e-05
1625529600008,8,2.925e-05
1625558400019,8,-3.935e-05
1625587200000,8,9.559e-05
1625616000007,8,3.679e-05
1625644800001,8,9.363e-05
1625673600008,8,0.0001
1625702400002,8,-1.075e-05
1625731200010,8,8.639e-05
1625760000003,8,0.0001
1625788800000,8,0.0001
1625817600006,8,2.471e-05
1625846400000,8,0.0001
1625875200002,8,0.0001
1625904000000,8,0.0001
1625932800001,8,0.0001
1625961600001,8,0.0001
1625990400025,8,0.0001
1626019200006,8,0.0001
1626048000000,8,0.0001
1626076800021,8,0.0001
1626105600000,8,0.0001
1626134400000,8,0.0001
1626163200013,8,-1.436e-05
1626192000005,8,0.0001
1626220800000,8,0.0001
1626249600000,8,0.0001
1626278400005,8,-1.55e-05
1626307200005,8,5.808e-05
1626336000001,8,0.0001
1626364800000,8,9.847e-05
1626393600000,8,0.0001
1626422400000,8,0.0001
1626451200001,8,6.785e-05
1626480000004,8,0.0001
1626508800009,8,0.0001
1626537600006,8,5.313e-05
1626566400000,8,0.0001
1626595200001,8,0.0001
1626624000003,8,0.0001
1626652800002,8,1.98e-06
1626681600006,8,6.91e-06
1626710400006,8,3.1e-06
1626739200002,8,-2.156e-05
1626768000011,8,-0.00041611
1626796800001,8,-5.126e-05
1626825600022,8,1.65e-06
1626854400000,8,-0.00025489
1626883200018,8,-0.00028858
1626912000002,8,0.0001
1626940800006,8,0.0001
1626969600010,8,0.0001
1626998400013,8,8.643e-05
1627027200000,8,0.0001
1627056000005,8,0.0001
1627084800000,8,0.0001
1627113600002,8,0.0001
1627142400001,8,-2.614e-05
1627171200003,8,-1.521e-05
1627200000015,8,4.969e-05
1627228800000,8,0.0001
1627257600000,8,0.0001
1627286400000,8,0.0001
1627315200000,8,0.0001
1627344000046,8,0.0001
1627372800014,8,0.0001
1627401600007,8,0.0001
1627430400000,8,0.0001
1627459200002,8,0.0001
1627488000005,8,5.618e-05
1627516800004,8,5.723e-05
1627545600000,8,0.0001
1627574400007,8,0.0001
1627603200004,8,0.0001
1627632000000,8,0.0001
1627660800000,8,0.0001
1627689600000,8,0.0001
1627718400014,8,0.0001
1627747200003,8,0.0001
1627776000005,8,0.0001
1627804800016,8,0.0001
1627833600001,8,0.0001
1627862400000,8,0.0001
1627891200014,8,0.0001
1627920000021,8,0.0001
1627948800000,8,0.0001
1627977600000,8,0.0001
1628006400009,8,7.59e-06
1628035200000,8,2.73e-06
1628064000000,8,0.0001
1628092800003,8,9.39e-05
1628121600000,8,0.0001
1628150400000,8,0.0001
1628179200001,8,0.0001
1628208000000,8,0.0001
1628236800004,8,0.0001
1628265600003,8,0.0001
1628294400015,8,0.0001
1628323200001,8,0.0001
1628352000002,8,0.00018202
1628380800000,8,0.00013627
1628409600002,8,0.0001
1628438400018,8,0.0001
1628467200000,8,0.00014093
1628496000000,8,0.00021302
1628524800002,8,0.0001
1628553600000,8,0.00045734
1628582400003,8,0.0001
1628611200000,8,0.0001
1628640000006,8,0.00043227
1628668800003,8,0.00025633
1628697600000,8,0.0001
1628726400013,8,0.0001
1628755200001,8,0.0001371
1628784000000,8,0.00018477
1628812800000,8,0.0001
1628841600000,8,0.0001
1628870400002,8,0.00042196
1628899200006,8,0.0001
1628928000000,8,0.00025028
1628956800000,8,0.00051663
1628985600003,8,0.00037689
1629014400000,8,0.00015074
1629043200007,8,0.0001
1629072000012,8,0.00025793
1629100800003,8,0.0001
1629129600010,8,0.0001
1629158400018,8,0.0001
1629187200015,8,0.0001
1629216000006,8,0.0001
1629244800000,8,0.0001
1629273600000,8,0.0001
1629302400011,8,0.0001
1629331200000,8,0.0001
1629360000014,8,0.0001
1629388800000,8,0.0001
1629417600000,8,0.00023469
1629446400001,8,0.00015342
1629475200001,8,0.00036239
1629504000005,8,0.0001
1629532800001,8,0.0001
1629561600000,8,0.00036746
1629590400005,8,0.0002266
1629619200007,8,0.00018006
1629648000002,8,0.0001
1629676800003,8,0.0001
1629705600005,8,0.00113675
1629734400002,8,0.00035008
1629763200006,8,0.00032752
1629792000004,8,0.00030158
1629820800000,8,0.00056014
1629849600015,8,0.00019472
1629878400000,8,0.00016989
1629907200000,8,0.0001
1629936000001,8,0.0001
1629964800016,8,0.0001
1629993600004,8,0.0001
1630022400013,8,0.0001
1630051200001,8,0.0001
1630080000004,8,0.0001
1630108800000,8,0.0001
1630137600000,8,0.00014426
1630166400000,8,0.00011073
1630195200000,8,0.00016779
1630224000002,8,0.0001
1630252800005,8,0.0001
1630281600013,8,0.0001
1630310400008,8,0.0001
1630339200000,8,0.0001
1630368000000,8,0.0001
1630396800007,8,0.0001
1630425600003,8,0.00020707
1630454400000,8,0.0001
1630483200006,8,0.0001
1630512000000,8,0.0001
1630540800009,8,0.00025742
1630569600006,8,0.00079808
1630598400007,8,0.0002889
1630627200011,8,0.00027417
1630656000000,8,0.00037778
1630684800002,8,0.00065309
1630713600003,8,0.00076883
1630742400008,8,0.0007142
1630771200009,8,0.0007567
1630800000002,8,0.00070354
1630828800002,8,0.00058378
1630857600000,8,0.00080725
1630886400003,8,0.00085353
1630915200008,8,0.00041269
1630944000009,8,0.00044698
1630972800004,8,0.00058234
1631001600002,8,0.00066382
1631030400001,8,0.0001
1631059200005,8,0.0001
1631088000000,8,0.0001
1631116800000,8,0.0001
1631145600006,8,0.0001
1631174400014,8,0.0001
1631203200002,8,0.0001
1631232000001,8,0.0001
1631260800018,8,0.0001
1631289600006,8,0.0001
1631318400000,8,0.0001
1631347200001,8,0.0001
1631376000000,8,0.0001
1631404800000,8,0.0001
1631433600002,8,0.0001
1631462400000,8,0.0001
1631491200000,8,0.0001
1631520000007,8,0.0001
1631548800005,8,0.0001
1631577600002,8,0.0001
1631606400000,8,0.0001
1631635200007,8,0.0001
1631664000012,8,0.0001
1631692800003,8,0.0001
1631721600006,8,0.0001
1631750400008,8,0.0001
1631779200005,8,0.0001
1631808000002,8,0.0001
1631836800000,8,0.0001
1631865600047,8,0.0001
1631894400013,8,0.0001
1631923200000,8,0.0001
1631952000010,8,0.0001
1631980800005,8,0.0001
1632009600006,8,0.0001
1632038400015,8,0.0001
1632067200007,8,0.0001
1632096000018,8,0.0001
1632124800000,8,0.0001
1632153600005,8,0.0001
1632182400005,8,0.0001
1632211200007,8,0.0001
1632240000000,8,0.0001
1632268800005,8,0.0001
1632297600006,8,0.0001
1632326400000,8,0.0001
1632355200003,8,0.0001
1632384000000,8,0.0001
1632412800007,8,0.0001
1632441600000,8,5.5e-07
1632470400017,8,8.75e-06
1632499200000,8,-0.0001122
1632528000007,8,-7.48e-06
1632556800002,8,-1.988e-05
1632585600004,8,3.479e-05
1632614400013,8,0.0001
1632643200000,8,2.634e-05
1632672000005,8,2.827e-05
1632700800000,8,0.0001
1632729600001,8,0.0001
1632758400000,8,0.0001
1632787200000,8,-8.56e-06
1632816000014,8,2.806e-05
1632844800000,8,1.524e-05
1632873600000,8,-8.501e-05
1632902400002,8,-2.112e-05
1632931200000,8,0.0001
1632960000000,8,-0.00012951
1632988800004,8,0.0001
1633017600005,8,0.0001
1633046400012,8,4.598e-05
1633075200008,8,2.073e-05
1633104000000,8,0.0001
1633132800000,8,0.0001
1633161600002,8,0.0001
1633190400011,8,0.0001
1633219200019,8,0.0001
1633248000011,8,0.0001
1633276800004,8,0.0001
1633305600004,8,0.0001
1633334400000,8,0.0001
1633363200000,8,0.0001
1633392000007,8,0.0001
1633420800007,8,0.0001
1633449600004,8,0.0001
1633478400002,8,0.0001
1633507200000,8,0.0001
1633536000003,8,0.00014323
1633564800007,8,0.00031991
1633593600002,8,0.00019601
1633622400000,8,0.00024648
1633651200011,8,0.00018942
1633680000003,8,0.0001
1633708800002,8,0.00026363
1633737600006,8,0.0001
1633766400003,8,0.0001
1633795200000,8,0.0001
1633824000000,8,0.0001
1633852800008,8,0.0001
1633881600000,8,0.0001
1633910400002,8,0.0001
1633939200001,8,0.0001
1633968000006,8,0.0003307
1633996800008,8,0.0001
1634025600013,8,0.0001
1634054400003,8,0.0001
1634083200003,8,0.0001
1634112000015,8,0.0001
1634140800000,8,0.0001
1634169600011,8,0.00018908
1634198400017,8,0.00028381
1634227200000,8,0.00032142
1634256000005,8,0.00041315
1634284800002,8,0.00039194
1634313600005,8,0.00023043
1634342400009,8,0.00031365
1634371200000,8,0.00024049
1634400000003,8,0.00052591
1634428800001,8,0.00033305
1634457600002,8,0.00037505
1634486400002,8,0.00053706
1634515200006,8,0.00023924
1634544000004,8,0.0003827
1634572800001,8,0.0001968
1634601600002,8,0.00036846
1634630400000,8,0.00035703
1634659200000,8,0.00020322
1634688000017,8,0.00030103
1634716800004,8,0.00022709
1634745600020,8,0.00072515
1634774400000,8,0.00050619
1634803200000,8,0.00051537
1634832000008,8,0.00080402
1634860800005,8,0.00035282
1634889600005,8,0.00034276
1634918400018,8,0.00032256
1634947200005,8,0.00023902
1634976000001,8,0.00015138
1635004800004,8,0.00024606
1635033600006,8,0.00018961
1635062400012,8,0.00046408
1635091200001,8,0.00039289
1635120000012,8,0.00019298
1635148800002,8,0.00047527
1635177600022,8,0.00048823
1635206400005,8,0.00039142
1635235200016,8,0.00037012
1635264000000,8,0.00043832
1635292800004,8,0.00030844
1635321600000,8,0.00059665
1635350400002,8,0.00012399
1635379200002,8,0.00019556
1635408000000,8,0.0001
1635436800005,8,0.0001
1635465600000,8,0.00025971
1635494400007,8,0.00040402
1635523200001,8,0.00037311
1635552000000,8,0.00013087
1635580800001,8,0.00046654
1635609600013,8,0.00024213
1635638400008,8,0.00013682
1635667200010,8,0.0001
1635696000001,8,0.00021779
1635724800009,8,0.00024088
1635753600014,8,0.00013798
1635782400001,8,0.00026687
1635811200000,8,0.00020736
1635840000007,8,0.00045079
1635868800010,8,0.00052167
1635897600019,8,0.0001
1635926400000,8,0.00044614
1635955200005,8,0.00025564
1635984000006,8,0.00047967
1636012800004,8,0.0003137
1636041600004,8,0.00028111
1636070400000,8,0.0002238
1636099200013,8,0.00014351
1636128000016,8,0.00033389
1636156800010,8,0.00040376
1636185600000,8,0.00043015
1636214400007,8,0.0001
1636243200013,8,0.00023166
1636272000005,8,0.00018519
1636300800004,8,0.00032259
1636329600001,8,0.00021005
1636358400000,8,0.00028714
1636387200000,8,0.00023
1636416000000,8,0.0001
1636444800014,8,0.0001
1636473600001,8,0.0001
1636502400000,8,0.00021036
1636531200003,8,0.00020446
1636560000001,8,0.00027928
1636588800008,8,0.0001722
1636617600012,8,0.00015754
1636646400007,8,0.0001
1636675200000,8,0.0001
1636704000000,8,0.0001
1636732800004,8,0.0001
1636761600000,8,0.0001
1636790400004,8,0.0001
1636819200006,8,0.0001
1636848000010,8,0.0001
1636876800001,8,0.0001
1636905600000,8,0.0001
1636934400008,8,0.00023003
1636963200000,8,0.0002453
1636992000000,8,0.0001
1637020800000,8,0.00015753
1637049600001,8,0.0001
1637078400018,8,0.0001
1637107200005,8,0.0001
1637136000007,8,0.0001
1637164800003,8,0.0001
1637193600017,8,0.0001
1637222400007,8,0.0001
1637251200011,8,0.0001
1637280000000,8,0.0001
1637308800000,8,0.0001
1637337600005,8,0.0001
1637366400012,8,0.0001
1637395200000,8,0.0001
1637424000007,8,0.0001
1637452800000,8,0.0001
1637481600006,8,0.0001
1637510400000,8,0.0001
1637539200004,8,0.0001
1637568000000,8,0.0001
1637596800000,8,0.0001
1637625600004,8,0.0001
1637654400010,8,0.0001
1637683200005,8,0.0001
1637712000001,8,0.0001
1637740800003,8,0.0001
1637769600010,8,0.0001
1637798400000,8,0.0001
1637827200010,8,0.0001
1637856000000,8,0.00035137
1637884800000,8,0.00026113
1637913600000,8,0.00027132
1637942400016,8,0.0001
1637971200005,8,0.0001
1638000000008,8,0.0001
1638028800007,8,0.0001
1638057600018,8,0.0001
1638086400000,8,0.0001
1638115200004,8,0.0001
1638144000002,8,0.0001
1638172800004,8,0.0001
1638201600000,8,0.0001
1638230400000,8,0.0001
1638259200006,8,0.0001
1638288000000,8,0.00019202
1638316800000,8,0.0001625
1638345600000,8,0.0001
1638374400001,8,0.0001
1638403200000,8,0.0001
1638432000007,8,0.0001
1638460800008,8,0.0001
1638489600004,8,0.00012562
1638518400002,8,0.0001
1638547200006,8,0.0001
1638576000006,8,0.0001
1638604800004,8,6.583e-05
1638633600000,8,0.0001
1638662400003,8,0.0001
1638691200008,8,0.0001
1638720000007,8,0.0001
1638748800009,8,0.0001
1638777600001,8,0.0001
1638806400000,8,0.0001
1638835200018,8,0.0001
1638864000000,8,7.06e-05
1638892800000,8,0.0001
1638921600000,8,0.0001
1638950400018,8,0.0001
1638979200010,8,0.0001
1639008000010,8,0.0001
1639036800000,8,0.0001
1639065600000,8,0.0001
1639094400000,8,0.0001
1639123200008,8,0.0001
1639152000012,8,-1.037e-05
1639180800009,8,0.0001
1639209600008,8,0.0001
1639238400000,8,8.719e-05
1639267200001,8,0.0001
1639296000015,8,0.0001
1639324800011,8,0.0001
1639353600006,8,0.0001
1639382400019,8,-5.974e-05
1639411200000,8,4.163e-05
1639440000004,8,-5.267e-05
1639468800000,8,0.0001
1639497600015,8,0.0001
1639526400000,8,0.0001
1639555200008,8,0.0001
1639584000005,8,0.0001
1639612800006,8,0.0001
1639641600009,8,0.0001
1639670400000,8,3.234e-05
1639699200000,8,0.0001
1639728000005,8,0.0001
1639756800006,8,0.0001
1639785600014,8,0.0001
1639814400012,8,5.422e-05
1639843200000,8,0.0001
1639872000031,8,4.353e-05
1639900800000,8,0.0001
1639929600003,8,0.0001
1639958400015,8,0.0001
1639987200007,8,0.0001
1640016000005,8,0.0001
1640044800003,8,0.0001
1640073600012,8,0.0001
1640102400005,8,0.0001
1640131200000,8,0.0001
1640160000001,8,0.0001
1640188800006,8,0.0001
1640217600011,8,0.0001
