date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trades,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_trades,sol_open,sol_high,sol_low,sol_close,sol_volume,sol_trades,btc_funding_rate,eth_funding_rate,sol_funding_rate,btc_market_cap,eth_market_cap,sol_market_cap,fear_greed,btc_dominance,eth_dominance,USD_total_market_cap,USD_total_volume24h,USD_altcoin_market_cap,USD_altcoin_volume24h
2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.266298,2199849.0,1779.33,1827.28,1724.0,1781.99,817493.47513,826125.0,8.866,9.0,7.9601,8.3002,2257217.69,49157.0,0.0012165466666666,0.00110621,0.0010551933333333,915482000000.0,204214365330.21365,2183500971.0943336,95.0,61.0149,13.924,1464258536313.8,216272304969.28,570843276570.19,139263809598.88
2021-02-17,49133.45,52618.74,48947.0,52119.71,85743.637818,2514374.0,1781.99,1855.0,1733.01,1849.88,795711.63311,862461.0,8.3035,8.45,7.5182,8.2357,3331645.44,71460.0,0.0011487133333333,0.0014370866666666,0.0008407699999999,972986000000.0,211650223122.31253,2169693761.304059,95.0,61.5149,13.7089,1490946011412.48,188285633185.66,573792154718.48,111316233592.07
2021-02-18,52117.67,52530.0,50901.9,51552.6,60758.046954,1891592.0,1849.7,1950.5,1849.69,1939.61,937227.10191,1053661.0,8.2412,9.32,8.23,8.9771,2479859.19,63813.0,0.0013746466666666,0.00172004,0.0011422733333333,962320000000.0,221675453100.1461,2370920201.5700016,91.0,61.8264,13.4713,1571730150472.86,191801867278.34,599986152891.15,111051147235.46
2021-02-19,51552.61,56368.0,50710.2,55906.0,79659.77802,2339215.0,1938.91,1972.82,1891.0,1955.0,793404.4115,988320.0,8.988,11.85,8.5257,11.4912,7106323.06,170333.0,0.00101524,0.0013028233333333,0.0008892966666666,1040070000000.0,224983760125.45947,2982442770.175169,93.0,60.654,14.0058,1587960801799.29,138297572149.71,624799222289.43,86275969012.89
2021-02-20,55906.0,57700.46,53863.93,55841.19,80948.205314,2642846.0,1955.46,2042.34,1803.14,1913.0,1261315.81279,1329067.0,11.4845,11.8327,9.754,9.9869,4731324.37,110824.0,0.0013177266666666,0.0019066166666666,0.00183245,1040890000000.0,219477815079.2613,2632318065.43682,91.0,60.9757,13.1823,1706551988686.55,166915431853.1,665970624072.24,103531990434.29
2021-02-21,55841.19,58352.8,55477.59,57408.57,58166.708511,1950533.0,1912.9,1976.31,1883.01,1933.53,756568.19743,895138.0,9.9849,11.6707,9.8101,11.0753,3694265.15,92042.0,0.0010839966666666,0.00067433,0.0009576533333333,1071480000000.0,221922796312.8702,2926197618.858032,91.0,61.5163,12.9659,1699848120501.44,192679832452.38,654164884407.69,124521074482.3
2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.434944,3313083.0,1933.54,1936.29,1551.0,1777.58,1807244.98099,1799926.0,11.0738,14.8,9.1,14.4191,14711670.8,307004.0,0.00095565,0.0005318266666666,0.00053781,1005410000000.0,203278778240.4755,3679906251.6413774,94.0,61.4551,12.7395,1744111720940.62,145089923751.24,672265773868.39,93197529528.94
2021-02-23,54087.67,54183.59,44892.56,48891.0,169375.025051,3825196.0,1777.42,1782.39,1355.0,1577.89,2547837.82068,2396626.0,14.4176,15.8888,11.47,15.2244,24306320.76,548657.0,0.00022616,0.0001538933333333,-0.00031486,904973000000.0,179409338129.0132,3984212422.708912,94.0,61.3438,12.4133,1647603133821.13,232632635406.34,636900254057.51,140679715135.26
2021-02-24,48891.0,51374.99,46988.69,49676.2,91881.209252,2194532.0,1577.79,1712.7,1500.2,1623.39,1384388.81727,1319936.0,15.2389,18.2052,14.7917,17.1691,10777544.75,248041.0,0.0003302666666666,0.0002717466666666,0.0001728933333333,923775000000.0,185574336588.36377,4601753974.647311,76.0,61.8556,12.2295,1467056625531.13,261706706377.61,559599886400.05,155714954109.52
2021-02-25,49676.21,52041.73,46674.34,47073.73,83310.673121,2305679.0,1623.16,1671.59,1459.16,1481.75,1032670.79409,1110019.0,17.1745,17.69,13.6579,13.8442,9520373.92,210627.0,0.0002333533333333,0.00024316,0.00019475,886564000000.0,171233323989.8063,3691903486.0296926,79.0,61.2704,12.3395,1510602884475.79,171777263157.76,585050237585.6,108067972048.02
2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.200663,2371766.0,1482.08,1562.25,1400.0,1444.59,1355973.29378,1298739.0,13.8565,15.5083,13.1,13.5962,8029513.17,188509.0,0.0001,0.0002086266666666,0.0001,861702000000.0,165608952712.3465,3605379712.248495,55.0,61.6063,11.8802,1430592091566.2,142819282110.83,549257074017.22,88328074738.25
2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.834292,1757720.0,1444.56,1529.0,1425.0,1458.13,927423.0475,954919.0,13.5864,14.8359,13.01,13.1916,6232463.19,166289.0,0.0002825733333333,0.00030047,0.0001126733333333,854338000000.0,166975435622.9022,3498659187.542573,56.0,61.2638,11.7733,1408473597631.53,455253020446.06,545589568857.08,102167250832.29
2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.369042,1838345.0,1458.27,1468.75,1293.18,1419.18,1410207.56284,1190546.0,13.1853,13.7739,11.417,13.0887,7231344.75,181689.0,0.0001923533333333,0.0001,0.0001,845528000000.0,163704942653.35437,3515396858.8770247,55.0,60.6459,11.8177,1421511102160.5,128030108281.81,559423594029.18,82076121250.52
2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648,2147223.0,1418.67,1572.0,1409.91,1569.86,1094695.17839,989006.0,13.08,15.5469,13.0102,14.9855,5511248.26,155523.0,0.00012307,0.0003084866666666,0.0002023633333333,925256000000.0,179558027072.3106,3959146204.865072,38.0,60.9004,11.7711,1380689031695.14,140673015102.24,539844527303.61,87264517764.69
2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214,1855583.0,1570.0,1602.9,1455.52,1486.78,1061142.38743,966176.0,14.9989,15.25,13.3544,13.9438,4128426.11,111524.0,0.0001,0.0004146833333333,0.00032216,900507000000.0,171152187137.8795,3679245432.939055,78.0,61.0605,11.8634,1515177964309.47,129331510686.43,590002747122.47,75336449591.68
