,timestamp,btc_prices,btc_market_cap,btc_volumes,eth_prices,eth_market_cap,eth_volumes,sol_prices,sol_market_cap,sol_volumes,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,sol_open,sol_high,sol_low,sol_close
10,1753920000000,117833.241,2343717963709.7124,43054424656.58649,3807.417,459449027043.4022,28710848449.745983,177.878,95607702499.41104,6340104641.556541,117906.0,119754.0,116079.0,117833.0,3739.71,3936.94,3708.13,3807.42,184.83,194.21,173.22,177.88
11,1754265600000,114199.11,2272802075267.0376,24689273719.085533,3497.573,422223994717.4719,18338718249.174084,161.903,87127911992.51938,3799213534.622081,117828.0,118865.0,112113.0,114199.0,3807.38,3874.37,3373.55,3497.57,177.81,182.53,156.11,161.9
12,1754611200000,117463.475,2337732858703.5435,38289687095.00489,3911.261,471838906504.6792,31981627910.70641,175.385,94555506562.20601,4922490352.0849,114235.0,117596.0,112770.0,117463.0,3497.79,3917.17,3495.1,3911.26,161.85,175.39,161.45,175.39
13,1754956800000,118773.8,2364060561672.9995,61739781527.95854,4228.824,510225780028.6237,43010572110.88258,175.045,94446838456.51955,7218575660.657902,117483.0,122227.0,115979.0,118774.0,3907.6,4347.28,3884.64,4228.82,175.25,186.35,173.9,175.05
14,1755302400000,117339.792,2335290383260.173,44268714220.021,4430.532,534578587192.13434,50038927770.639565,185.6,100133112662.54547,8453295249.345534,118727.0,124128.0,116956.0,117340.0,4226.51,4779.0,4226.51,4430.53,174.96,209.18,174.04,185.6
15,1755648000000,112778.345,2245419916215.7417,46156885037.403885,4074.496,491872355111.46844,41626342123.38552,176.4,95269629007.20668,6012864665.830554,117397.0,118514.0,112778.0,112778.0,4437.62,4563.72,4074.5,4074.5,185.7,195.1,176.13,176.4
16,1755993600000,115359.983,2296786080139.701,27306719885.257973,4773.884,576242312916.0488,27814037595.094646,204.019,110265793443.07309,7707066769.148663,112896.0,117310.0,111764.0,115360.0,4080.65,4877.09,4074.75,4773.88,176.28,207.58,176.28,204.02
17,1756339200000,111216.085,2215255294289.9937,36957904262.995804,4500.145,543608856125.4653,35898825608.295586,203.293,109858006061.39355,12654160502.675875,115333.0,115549.0,109214.0,111216.0,4782.43,4946.05,4341.54,4500.15,204.27,212.69,186.21,203.29
18,1756684800000,108253.361,2155694976689.5986,26140904019.246822,4388.931,529740073153.04834,22269795530.723904,200.901,108641493698.23297,5119565154.109434,111241.0,113329.0,107682.0,108253.0,4503.25,4625.35,4279.96,4388.93,202.93,217.66,198.1,200.9
19,1757030400000,110724.736,2204051936301.3257,38708366685.43147,4298.095,519319443328.1493,29893273380.076374,202.686,109721137208.39746,5057527125.787553,108226.0,112502.0,107295.0,110725.0,4385.61,4486.12,4238.45,4298.09,200.23,212.41,194.5,202.69
20,1757376000000,112025.129,2231763512226.867,37159847899.8603,4309.686,519912892077.1541,26393884729.75394,214.09,116026061901.42412,9970745423.357145,110752.0,113225.0,110032.0,112025.0,4302.63,4467.61,4250.48,4309.69,202.49,216.73,199.69,214.09
21,1757721600000,116160.143,2314347371939.946,51192951485.864395,4708.842,567724477218.3574,39138140052.58744,242.258,131451215438.38591,13331440399.44534,112080.0,116705.0,110822.0,116160.0,4307.14,4721.04,4279.58,4708.84,214.33,243.62,211.34,242.26
22,1758067200000,116762.85,2325326932460.9644,39964451595.099724,4504.267,543407922913.00836,28053763147.05997,237.003,128913223473.07257,7606193246.926102,116092.0,116970.0,114509.0,116763.0,4707.47,4762.74,4431.42,4504.27,242.22,248.84,230.63,237.0
23,1758412800000,115715.515,2305371926506.302,18774953731.290394,4481.799,540941822331.27405,14314030981.454111,239.463,130034859270.97707,3643828369.3949914,116797.0,117888.0,114940.0,115716.0,4503.4,4637.85,4440.0,4481.8,236.92,252.78,232.78,239.46
24,1758758400000,113320.569,2257741194218.8286,46677543220.334526,4148.657,500734284408.361,29988924904.58222,211.596,115032433454.73328,8445521212.739207,115723.0,115858.0,111369.0,113321.0,4481.48,4497.46,4100.86,4148.66,239.56,241.69,206.33,211.6
25,1759104000000,112142.574,2235798877396.134,31274654338.51212,4141.84,499628731251.1227,21656522951.624653,210.745,114541266794.95769,4489384967.131298,113317.0,113492.0,108776.0,112143.0,4152.85,4160.04,3833.75,4141.84,211.62,212.22,191.28,210.75
26,1759449600000,120611.719,2399524207991.5527,71252850672.75252,4484.006,540553843152.3364,41104321433.11955,234.617,127362028246.18869,10240423698.713894,112179.0,121044.0,111599.0,120612.0,4139.68,4514.81,4089.64,4484.01,210.75,234.62,204.69,234.62
27,1759795200000,124773.508,2486073086655.2866,69605991064.72382,4689.132,566339901682.9528,41164885082.65789,232.597,126917886067.39793,7565905967.514749,120515.0,126080.0,119514.0,124774.0,4484.18,4734.99,4443.26,4689.13,234.78,237.29,224.69,232.6
28,1760140800000,113201.741,2265659827789.9917,151002213089.8765,3835.633,463578765352.86365,90784076986.425,189.891,104753731395.58649,16979196402.761215,124740.0,125108.0,105896.0,113202.0,4690.84,4753.34,3574.79,3835.63,232.63,234.97,176.73,189.89
29,1760486400000,113156.569,2257545230986.0146,91211854988.91518,4128.888,498801738230.5064,62876294833.97642,202.778,111004502175.88118,13553378827.238491,113044.0,115934.0,109862.0,113157.0,3841.67,4283.09,3664.38,4128.89,188.79,210.8,173.79,202.78
