,date,btc_market_cap,eth_market_cap,sol_market_cap
162,2019-12-01,134084000000.0,16463023771.829067,
163,2019-12-02,132299000000.0,16211635736.35005,
164,2019-12-03,132098000000.0,16040743767.687872,
165,2019-12-04,130459000000.0,15850140690.03164,
166,2019-12-05,133893000000.0,16104831824.58484,
167,2019-12-06,136260000000.0,16180321474.759104,
168,2019-12-07,135873000000.0,16053119230.46428,
169,2019-12-08,136193000000.0,16416556592.389666,
170,2019-12-09,132793000000.0,16041386977.228628,
171,2019-12-10,130850000000.0,15860338259.439938,
172,2019-12-11,130291000000.0,15582716246.515211,
173,2019-12-12,130165000000.0,15759013989.97741,
174,2019-12-13,131119000000.0,15746101129.489502,
175,2019-12-14,127987000000.0,15447473408.06576,
176,2019-12-15,128728000000.0,15499305925.048939,
177,2019-12-16,124595000000.0,14419764992.528624,
178,2019-12-17,119658000000.0,13236580486.015429,
179,2019-12-18,131897000000.0,14477443934.213896,
180,2019-12-19,129390000000.0,13929807827.812023,
181,2019-12-20,130108000000.0,13971749476.510723,
182,2019-12-21,129331000000.0,13850973416.661491,
183,2019-12-22,135489000000.0,14393262381.728577,
184,2019-12-23,132648000000.0,13931799754.97065,
185,2019-12-24,131101000000.0,13915906116.501743,
186,2019-12-25,130307000000.0,13614669721.513311,
187,2019-12-26,130382000000.0,13662560948.78117,
188,2019-12-27,131167000000.0,13759076458.52781,
189,2019-12-28,132439000000.0,13962785724.476667,
190,2019-12-29,133993000000.0,14684126312.21448,
191,2019-12-30,131067000000.0,14319936658.825958,
192,2019-12-31,129958000000.0,14018445703.988405,
193,2020-01-01,130029000000.0,14178270421.921019,
194,2020-01-02,125986000000.0,13826867612.653484,
195,2020-01-03,132682000000.0,14599804719.65949,
196,2020-01-04,133202000000.0,14628869157.81454,
197,2020-01-05,133261000000.0,14732412456.03946,
198,2020-01-06,140901000000.0,15717379574.559843,
199,2020-01-07,147633000000.0,15638597613.345484,
200,2020-01-08,146265000000.0,15381069898.771856,
201,2020-01-09,141877000000.0,15011842480.594463,
202,2020-01-10,147568000000.0,15703468328.260777,
203,2020-01-11,145807000000.0,15602393300.428144,
204,2020-01-12,148230000000.0,15888481562.367712,
205,2020-01-13,147471000000.0,15722557461.083925,
206,2020-01-14,160347000000.0,18143435606.12317,
207,2020-01-15,160023000000.0,18124467268.37728,
208,2020-01-16,158355000000.0,17929895452.403725,
209,2020-01-17,161894000000.0,18695250628.24056,
210,2020-01-18,162195000000.0,19139317798.63109,
211,2020-01-19,157835000000.0,18236076930.535244,
212,2020-01-20,156923000000.0,18253204510.555267,
213,2020-01-21,158658000000.0,18500897551.820377,
214,2020-01-22,157167000000.0,18325323198.820892,
215,2020-01-23,152067000000.0,17738141323.824425,
216,2020-01-24,153120000000.0,17750311613.296627,
217,2020-01-25,151707000000.0,17563648536.175957,
218,2020-01-26,155889000000.0,18292195655.851025,
219,2020-01-27,161871000000.0,18598192538.25385,
220,2020-01-28,169076000000.0,19185219796.01567,
221,2020-01-29,169357000000.0,19121982127.946495,
222,2020-01-30,172959000000.0,20173230026.184807,
223,2020-01-31,170219000000.0,19727532199.85916,
224,2020-02-01,170683000000.0,20102199224.117313,
225,2020-02-02,169927000000.0,20634323242.760967,
226,2020-02-03,168860000000.0,20740233582.51918,
227,2020-02-04,166727000000.0,20626148419.76395,
228,2020-02-05,175232000000.0,22474755226.697063,
229,2020-02-06,177274000000.0,23323999289.47683,
230,2020-02-07,178401000000.0,24424319297.757828,
231,2020-02-08,180439000000.0,24549066763.908558,
232,2020-02-09,184822000000.0,25044743521.801567,
233,2020-02-10,179766000000.0,24573391617.75849,
234,2020-02-11,187063000000.0,26057807917.567142,
235,2020-02-12,188683000000.0,29241231904.20878,
236,2020-02-13,186432000000.0,29386384295.138535,
237,2020-02-14,188747000000.0,31242756917.938057,
238,2020-02-15,180568000000.0,29074886159.376545,
239,2020-02-16,181321000000.0,28650052597.31488,
240,2020-02-17,176438000000.0,29254896719.761894,
241,2020-02-18,185791000000.0,31119410430.843903,
242,2020-02-19,175617000000.0,28655082917.488983,
243,2020-02-20,175233000000.0,28390259666.617573,
244,2020-02-21,176848000000.0,29192724331.862946,
245,2020-02-22,176383000000.0,28741137656.4129,
246,2020-02-23,181826000000.0,30195991897.405506,
247,2020-02-24,175921000000.0,29034229389.03716,
248,2020-02-25,170399000000.0,27299039944.245907,
249,2020-02-26,160470000000.0,24794413841.21872,
250,2020-02-27,160122000000.0,24873570824.521965,
251,2020-02-28,159620000000.0,25126637380.31679,
252,2020-02-29,156563000000.0,24187791274.59072,
253,2020-03-01,155843000000.0,24028268465.414288,
254,2020-03-02,162512000000.0,25413064966.13357,
255,2020-03-03,160021000000.0,24656438697.67116,
256,2020-03-04,159810000000.0,24645488218.32676,
257,2020-03-05,165418000000.0,25050745567.437977,
258,2020-03-06,166979000000.0,26870233371.789173,
259,2020-03-07,162454000000.0,26183899467.590214,
260,2020-03-08,148072000000.0,22304759581.86333,
261,2020-03-09,144194000000.0,22019869505.344463,
262,2020-03-10,144456000000.0,22099583051.436165,
263,2020-03-11,145006000000.0,21374382373.42447,
264,2020-03-12,90585702982.0,12142407753.818476,
265,2020-03-13,102805000000.0,14833124347.053228,
266,2020-03-14,93998247297.0,13438863731.076996,
267,2020-03-15,97906237673.0,13625115182.117708,
268,2020-03-16,91597647940.0,12150685925.345997,
269,2020-03-17,98984556813.0,12970898278.550419,
270,2020-03-18,98549332948.0,12961485399.65306,
271,2020-03-19,113380000000.0,15130251786.244404,
272,2020-03-20,112851000000.0,14490392135.65463,
273,2020-03-21,112890000000.0,14600089052.828814,
274,2020-03-22,106588000000.0,13492311428.732088,
275,2020-03-23,118587000000.0,14942935323.33988,
276,2020-03-24,123874000000.0,15366419445.988304,
277,2020-03-25,122329000000.0,15002403558.825708,
278,2020-03-26,123516000000.0,15281280819.357052,
279,2020-03-27,118708000000.0,14739954361.722431,
280,2020-03-28,113983000000.0,14449137200.997223,
281,2020-03-29,108013000000.0,13805846662.68518,
282,2020-03-30,117757000000.0,14659486151.110657,
283,2020-03-31,117687000000.0,14728117877.98116,
284,2020-04-01,121555000000.0,14988853750.11207,
285,2020-04-02,124305000000.0,15575195266.801167,
286,2020-04-03,123572000000.0,15640617341.301085,
287,2020-04-04,125561000000.0,15930519903.265596,
288,2020-04-05,124308000000.0,15781947108.521961,
289,2020-04-06,133611000000.0,18724591241.935223,
290,2020-04-07,131599000000.0,18131477641.717987,
291,2020-04-08,134994000000.0,19136147491.922146,
292,2020-04-09,133678000000.0,18805940059.12753,
293,2020-04-10,125638000000.0,17401879641.164467,
294,2020-04-11,126080000000.0,17501345211.614273,6244287.603841352
295,2020-04-12,127842000000.0,17748494749.077957,7247081.666323752
296,2020-04-13,125747000000.0,17369419396.38593,6272480.380791288
297,2020-04-14,125981000000.0,17571338460.463604,5365156.692380488
298,2020-04-15,121413000000.0,16904276680.161112,5126711.21727128
299,2020-04-16,130633000000.0,19119196833.544605,5527442.69576492
300,2020-04-17,129796000000.0,19039962026.433464,5305312.182146792
301,2020-04-18,133133000000.0,20797696180.25448,5434540.875572112
302,2020-04-19,131084000000.0,20039638790.1467,4849761.633956856
303,2020-04-20,125653000000.0,18912213343.399124,4280073.5720132
304,2020-04-21,125981000000.0,18967133744.99661,4658443.318301376
305,2020-04-22,130638000000.0,20196480809.97249,5499779.397580152
