asset,horizon,date,mult,prob,outcome
btc,7,2022-12-13,1.05,0.2527,0
btc,7,2022-12-13,1.1,0.1268,0
btc,7,2022-12-20,0.9,0.8689,1
btc,7,2022-12-20,0.95,0.7286,1
btc,7,2022-12-20,1.0,0.4835,0
btc,7,2022-12-20,1.05,0.2524,0
btc,7,2022-12-20,1.1,0.129,0
btc,7,2022-12-27,0.9,0.8719,1
btc,7,2022-12-27,0.95,0.7279,1
btc,7,2022-12-27,1.0,0.487,0
btc,7,2022-12-27,1.05,0.2539,0
btc,7,2022-12-27,1.1,0.128,0
btc,7,2023-01-03,0.9,0.8641,1
btc,7,2023-01-03,0.95,0.7225,1
btc,7,2023-01-03,1.0,0.4702,1
btc,7,2023-01-03,1.05,0.2529,0
btc,7,2023-01-03,1.1,0.1271,0
btc,7,2023-01-10,0.9,0.8638,1
btc,7,2023-01-10,0.95,0.7281,1
btc,7,2023-01-10,1.0,0.485,1
btc,7,2023-01-10,1.05,0.2418,1
btc,7,2023-01-10,1.1,0.12,1
btc,7,2023-01-17,0.9,0.8747,1
btc,7,2023-01-17,0.95,0.7393,1
btc,7,2023-01-17,1.0,0.4915,1
btc,7,2023-01-17,1.05,0.2507,1
btc,7,2023-01-17,1.1,0.1324,0
btc,7,2023-01-24,0.9,0.8697,1
btc,7,2023-01-24,0.95,0.7365,1
btc,7,2023-01-24,1.0,0.4857,1
btc,7,2023-01-24,1.05,0.2543,0
btc,7,2023-01-24,1.1,0.1324,0
btc,7,2023-01-31,0.9,0.8666,1
btc,7,2023-01-31,0.95,0.7392,1
btc,7,2023-01-31,1.0,0.4931,1
btc,7,2023-01-31,1.05,0.2607,0
btc,7,2023-01-31,1.1,0.1402,0
btc,7,2023-02-07,0.9,0.8727,1
btc,7,2023-02-07,0.95,0.7412,1
btc,7,2023-02-07,1.0,0.4999,0
btc,7,2023-02-07,1.05,0.2613,0
btc,7,2023-02-07,1.1,0.1341,0
btc,7,2023-02-14,0.9,0.8737,1
btc,7,2023-02-14,0.95,0.7383,1
btc,7,2023-02-14,1.0,0.489,1
btc,7,2023-02-14,1.05,0.2562,1
btc,7,2023-02-14,1.1,0.1362,1
btc,7,2023-02-21,0.9,0.8774,1
btc,7,2023-02-21,0.95,0.7413,0
btc,7,2023-02-21,1.0,0.5061,0
btc,7,2023-02-21,1.05,0.2659,0
btc,7,2023-02-21,1.1,0.1391,0
btc,7,2023-02-28,0.9,0.8785,1
btc,7,2023-02-28,0.95,0.7374,1
btc,7,2023-02-28,1.0,0.4979,0
btc,7,2023-02-28,1.05,0.2569,0
btc,7,2023-02-28,1.1,0.1314,0
btc,7,2023-03-07,0.9,0.8792,1
btc,7,2023-03-07,0.95,0.7337,1
btc,7,2023-03-07,1.0,0.4886,1
btc,7,2023-03-07,1.05,0.254,1
btc,7,2023-03-07,1.1,0.1337,1
btc,7,2023-03-14,0.9,0.8795,1
btc,7,2023-03-14,0.95,0.7367,1
btc,7,2023-03-14,1.0,0.4911,1
btc,7,2023-03-14,1.05,0.2567,1
btc,7,2023-03-14,1.1,0.1367,1
btc,7,2023-03-21,0.9,0.8794,1
btc,7,2023-03-21,0.95,0.7371,1
btc,7,2023-03-21,1.0,0.4864,0
